Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,Employment Status,Health Status (Employment-Based),Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
BE55425,Oregon,6403.58,No,Extended,College,31-01-11,Employed,Healthy,M,28095,Suburban,Married,82,18,2,0,8,Personal Auto,Personal L3,Offer3,Web,393.6,Four-Door Car,Midsize
QA87025,Oregon,5670.44,No,Basic,Bachelor,31-01-11,Employed,Healthy,F,28406,Urban,Married,72,16,35,1,4,Personal Auto,Personal L3,Offer1,Call Center,192.88,Four-Door Car,Midsize
IJ40048,California,4978.95,No,Basic,Bachelor,31-01-11,Employed,Healthy,M,28695,Urban,Single,64,17,87,0,4,Corporate Auto,Corporate L2,Offer1,Branch,221.24,Four-Door Car,Midsize
ZD29731,California,4656.67,No,Basic,College,31-01-11,Employed,Healthy,M,29070,Suburban,Married,61,8,99,2,3,Personal Auto,Personal L2,Offer3,Call Center,292.8,Two-Door Car,Small
VB26229,Arizona,8697.88,No,Basic,Bachelor,31-01-11,Employed,Healthy,M,29540,Suburban,Divorced,73,3,23,0,2,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Midsize
GQ15708,Oregon,14503.02,No,Basic,Bachelor,31-01-11,Medical Leave,Unhealthy,M,29790,Suburban,Married,194,25,49,0,3,Personal Auto,Personal L2,Offer1,Agent,931.2,Luxury SUV,Midsize
HI16116,Oregon,5278.65,No,Basic,Master,31-01-11,Employed,Healthy,F,29899,Suburban,Married,66,21,31,0,3,Personal Auto,Personal L3,Offer2,Agent,419.3,Four-Door Car,Small
WL13766,Arizona,2482.2,No,Basic,High School Or Below,31-01-11,Employed,Healthy,M,31093,Urban,Single,64,1,22,0,1,Personal Auto,Personal L3,Offer3,Branch,274.96,Four-Door Car,Midsize
XK52242,California,9800.34,No,Extended,Bachelor,31-01-11,Employed,Healthy,M,32245,Rural,Married,124,4,58,0,8,Personal Auto,Personal L2,Offer2,Agent,257.5,SUV,Midsize
CX12134,Nevada,4220.61,No,Premium,High School Or Below,31-01-11,Employed,Healthy,M,32471,Suburban,Single,110,0,87,0,1,Personal Auto,Personal L2,Offer2,Agent,528,Two-Door Car,Midsize
XY80192,Oregon,13979.09,No,Premium,High School Or Below,31-01-11,Employed,Healthy,M,33617,Suburban,Married,117,6,12,0,2,Personal Auto,Personal L3,Offer1,Agent,761.72,Four-Door Car,Midsize
SM52139,Washington,2930.69,No,Basic,College,31-01-11,Employed,Healthy,M,33663,Suburban,Married,73,29,71,0,1,Personal Auto,Personal L3,Offer3,Web,350.4,Four-Door Car,Midsize
CW92156,Washington,4070.05,No,Basic,College,31-01-11,Employed,Healthy,F,37435,Urban,Single,105,3,22,0,1,Personal Auto,Personal L3,Offer3,Branch,314.44,SUV,Midsize
NT78297,Oregon,7517.38,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,37695,Suburban,Single,96,17,3,0,3,Personal Auto,Personal L2,Offer1,Branch,460.8,Two-Door Car,Small
PY48656,Arizona,6259.51,No,Extended,Master,31-01-11,Employed,Healthy,F,37813,Rural,Married,78,4,26,1,5,Corporate Auto,Corporate L2,Offer1,Agent,39.78,Four-Door Car,Midsize
GQ20713,Nevada,4834.71,Yes,Basic,College,31-01-11,Employed,Healthy,F,38713,Suburban,Divorced,66,31,69,4,6,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Midsize
BP28492,Arizona,4834.71,Yes,Basic,College,31-01-11,Employed,Healthy,F,38713,Suburban,Divorced,66,31,69,4,6,Corporate Auto,Corporate L3,Offer2,Call Center,316.8,Four-Door Car,Midsize
DX65548,Arizona,4834.71,Yes,Basic,College,31-01-11,Employed,Healthy,F,38713,Suburban,Divorced,66,31,69,4,6,Personal Auto,Personal L1,Offer2,Call Center,316.8,Four-Door Car,Midsize
IK51081,California,4834.71,Yes,Basic,College,31-01-11,Employed,Healthy,F,38713,Suburban,Divorced,66,31,69,4,6,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Midsize
GE58317,Arizona,4834.71,Yes,Basic,College,31-01-11,Employed,Healthy,F,38713,Suburban,Divorced,66,31,69,4,6,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Midsize
EW67348,Nevada,4834.71,Yes,Basic,College,31-01-11,Employed,Healthy,F,38713,Suburban,Divorced,66,31,69,4,6,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Midsize
HZ25580,Washington,2396.19,No,Basic,High School Or Below,31-01-11,Employed,Healthy,F,39062,Suburban,Divorced,61,2,20,0,1,Corporate Auto,Corporate L3,Offer2,Agent,346.99,Two-Door Car,Midsize
ZM75468,Nevada,10745.98,No,Extended,College,31-01-11,Employed,Healthy,M,39135,Suburban,Divorced,91,8,56,0,2,Personal Auto,Personal L1,Offer1,Agent,436.8,Four-Door Car,Small
NI46290,Oregon,4860.91,No,Basic,College,31-01-11,Employed,Healthy,F,39429,Rural,Divorced,62,12,6,0,9,Corporate Auto,Corporate L3,Offer1,Call Center,102.47,Four-Door Car,Midsize
MH85165,California,6767.81,No,Extended,High School Or Below,31-01-11,Employed,Healthy,M,39650,Suburban,Married,86,18,8,0,6,Personal Auto,Personal L1,Offer2,Branch,922.34,Four-Door Car,Midsize
DO48071,California,2795.41,No,Basic,College,31-01-11,Employed,Healthy,F,40516,Rural,Married,70,21,31,0,1,Personal Auto,Personal L3,Offer2,Web,137.17,Two-Door Car,Small
AR25213,Arizona,7282.97,No,Basic,High School Or Below,31-01-11,Employed,Healthy,M,40858,Suburban,Married,184,10,62,0,1,Personal Auto,Personal L3,Offer3,Agent,883.2,Luxury SUV,Large
KF98735,California,3673.99,No,Extended,Bachelor,31-01-11,Employed,Healthy,M,41185,Urban,Married,99,20,6,4,1,Special Auto,Special L3,Offer2,Agent,363.61,Four-Door Car,Midsize
PS57128,California,3834.74,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,41341,Rural,Single,99,4,64,0,1,Personal Auto,Personal L2,Offer3,Agent,240.24,Four-Door Car,Midsize
LD76400,California,31316.61,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,42522,Suburban,Married,132,3,85,0,2,Corporate Auto,Corporate L1,Offer3,Agent,909.88,SUV,Midsize
ML79788,Arizona,7908.67,No,Extended,College,31-01-11,Employed,Healthy,F,43630,Suburban,Divorced,99,33,30,0,3,Corporate Auto,Corporate L1,Offer3,Branch,475.2,Four-Door Car,Midsize
SP85148,California,9429.63,No,Basic,Master,31-01-11,Employed,Healthy,F,43811,Suburban,Married,117,24,10,0,4,Personal Auto,Personal L3,Offer1,Web,571.14,Sports Car,Small
RL34830,California,7644.76,No,Extended,College,31-01-11,Employed,Healthy,M,43838,Suburban,Married,97,11,37,0,7,Corporate Auto,Corporate L2,Offer2,Web,465.6,Four-Door Car,Midsize
JO75190,Nevada,8673.59,No,Basic,Bachelor,31-01-11,Employed,Healthy,M,43963,Suburban,Married,110,25,59,0,7,Corporate Auto,Corporate L3,Offer3,Agent,528,SUV,Midsize
BL44722,Nevada,41787.9,Yes,Premium,High School Or Below,31-01-11,Employed,Healthy,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L2,Offer1,Call Center,571.2,Four-Door Car,Midsize
IE85867,Arizona,41787.9,Yes,Premium,High School Or Below,31-01-11,Employed,Healthy,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Midsize
IH35630,Oregon,41787.9,Yes,Premium,High School Or Below,31-01-11,Employed,Healthy,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Midsize
VB69838,Oregon,41787.9,Yes,Premium,High School Or Below,31-01-11,Employed,Healthy,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Midsize
ZI47098,California,41787.9,Yes,Premium,High School Or Below,31-01-11,Employed,Healthy,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Midsize
MN83273,California,41787.9,Yes,Premium,High School Or Below,31-01-11,Employed,Healthy,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Midsize
QA66968,California,6756.06,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,46879,Urban,Married,86,3,62,2,3,Personal Auto,Personal L3,Offer1,Agent,324.94,Four-Door Car,Midsize
ZF48094,Oregon,3339.85,No,Extended,High School Or Below,31-01-11,Employed,Healthy,F,51032,Urban,Married,83,5,56,0,1,Personal Auto,Personal L1,Offer4,Web,349.95,Four-Door Car,Midsize
OZ86942,California,5790.46,No,Basic,Bachelor,31-01-11,Employed,Healthy,F,52443,Suburban,Married,73,0,47,1,4,Corporate Auto,Corporate L3,Offer2,Agent,350.4,Four-Door Car,Midsize
HQ23708,Arizona,8596.92,No,Basic,Master,31-01-11,Employed,Healthy,F,53736,Rural,Married,71,2,20,0,2,Personal Auto,Personal L3,Offer4,Web,169.29,Two-Door Car,Midsize
KK58047,Oregon,8583.85,No,Basic,College,31-01-11,Employed,Healthy,M,53944,Suburban,Married,71,13,20,0,2,Personal Auto,Personal L3,Offer2,Web,340.8,Two-Door Car,Midsize
KC17170,Arizona,5465.6,No,Basic,Bachelor,31-01-11,Employed,Healthy,F,54422,Rural,Married,68,9,8,0,5,Corporate Auto,Corporate L3,Offer1,Branch,75.5,Four-Door Car,Midsize
MA80983,Oregon,6661.18,No,Premium,College,31-01-11,Employed,Healthy,M,55663,Rural,Married,166,19,63,0,1,Personal Auto,Personal L2,Offer2,Branch,194.74,SUV,Large
OI83286,Oregon,5551.39,No,Basic,College,31-01-11,Employed,Healthy,F,56872,Urban,Married,69,20,99,0,9,Personal Auto,Personal L1,Offer1,Agent,192.88,Two-Door Car,Midsize
BM27144,California,7653.28,No,Basic,College,31-01-11,Employed,Healthy,F,57446,Rural,Divorced,64,20,30,0,2,Personal Auto,Personal L3,Offer1,Agent,77.45,Four-Door Car,Midsize
ED89934,California,4823.56,No,Extended,College,31-01-11,Employed,Healthy,F,58946,Urban,Married,121,5,87,0,1,Personal Auto,Personal L3,Offer1,Agent,486.72,SUV,Midsize
FQ61281,Oregon,83325.38,No,Extended,High School Or Below,31-01-11,Employed,Healthy,M,58958,Suburban,Married,231,31,74,0,2,Personal Auto,Personal L3,Offer1,Call Center,1108.8,Luxury Car,Small
UP90711,Oregon,2836.68,No,Basic,Bachelor,31-01-11,Employed,Healthy,F,61029,Rural,Single,72,26,98,0,1,Personal Auto,Personal L2,Offer2,Call Center,114.43,Two-Door Car,Midsize
JZ28710,California,5143.88,No,Basic,College,31-01-11,Employed,Healthy,M,61417,Urban,Married,65,6,35,0,7,Personal Auto,Personal L3,Offer4,Call Center,206.02,Two-Door Car,Midsize
KZ84621,Nevada,8253.27,No,Basic,High School Or Below,31-01-11,Employed,Healthy,F,62375,Urban,Married,103,35,71,1,3,Personal Auto,Personal L3,Offer4,Web,411.23,SUV,Small
XR74007,California,3540.21,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,62863,Rural,Married,88,18,52,0,1,Corporate Auto,Corporate L1,Offer3,Agent,94.51,Four-Door Car,Midsize
MD17521,Oregon,10298.39,No,Extended,High School Or Below,31-01-11,Employed,Healthy,M,64825,Urban,Married,129,1,78,0,4,Personal Auto,Personal L3,Offer2,Web,359.48,SUV,Midsize
EZ48947,Nevada,13111.11,No,Basic,College,31-01-11,Employed,Healthy,M,67197,Rural,Single,111,2,9,0,2,Special Auto,Special L2,Offer1,Agent,147.95,SUV,Large
MN61620,Arizona,9877.3,No,Extended,College,31-01-11,Employed,Healthy,F,67752,Rural,Single,131,4,40,4,9,Personal Auto,Personal L2,Offer1,Web,168.52,Sports Car,Small
BG76355,Washington,6274.12,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,68964,Rural,Married,78,15,6,0,3,Personal Auto,Personal L3,Offer3,Web,115.09,Four-Door Car,Midsize
EO51920,Oregon,19955.26,No,Extended,High School Or Below,31-01-11,Employed,Healthy,F,69096,Rural,Married,99,24,32,0,2,Corporate Auto,Corporate L3,Offer1,Agent,64.67,Four-Door Car,Midsize
FZ89300,California,3673.53,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,69555,Urban,Single,92,16,59,0,1,Personal Auto,Personal L2,Offer1,Agent,255.28,Four-Door Car,Midsize
HQ16068,Washington,24636.97,No,Basic,High School Or Below,31-01-11,Employed,Healthy,M,73716,Rural,Married,103,2,91,0,2,Special Auto,Special L2,Offer1,Call Center,162.66,Sports Car,Midsize
MY37953,Arizona,25830.91,No,Basic,Bachelor,31-01-11,Employed,Healthy,F,73760,Rural,Married,107,16,3,1,2,Personal Auto,Personal L2,Offer3,Web,230.25,Sports Car,Midsize
UW88168,Oregon,3032.82,No,Extended,Bachelor,31-01-11,Employed,Healthy,M,73782,Rural,Married,76,11,97,0,1,Special Auto,Special L3,Offer2,Branch,111.62,Four-Door Car,Large
FP86246,California,13211.01,No,Premium,Bachelor,31-01-11,Employed,Healthy,M,74656,Urban,Divorced,111,0,6,0,2,Personal Auto,Personal L2,Offer3,Call Center,504.37,Four-Door Car,Midsize
LZ34046,Oregon,23594.68,Yes,Basic,Bachelor,31-01-11,Employed,Healthy,M,76358,Rural,Married,66,25,3,0,2,Personal Auto,Personal L1,Offer3,Agent,86.46,Four-Door Car,Midsize
IX35050,Arizona,23594.68,Yes,Basic,Bachelor,31-01-11,Employed,Healthy,M,76358,Rural,Married,66,25,3,0,2,Special Auto,Special L3,Offer3,Agent,86.46,Four-Door Car,Midsize
DP13082,California,23594.68,Yes,Basic,Bachelor,31-01-11,Employed,Healthy,M,76358,Rural,Married,66,25,3,0,2,Personal Auto,Personal L3,Offer3,Agent,86.46,Four-Door Car,Midsize
ZK11389,Oregon,23594.68,Yes,Basic,Bachelor,31-01-11,Employed,Healthy,M,76358,Rural,Married,66,25,3,0,2,Corporate Auto,Corporate L1,Offer3,Agent,86.46,Four-Door Car,Midsize
XU56756,Oregon,23594.68,Yes,Basic,Bachelor,31-01-11,Employed,Healthy,M,76358,Rural,Married,66,25,3,0,2,Personal Auto,Personal L1,Offer3,Agent,86.46,Four-Door Car,Midsize
GA74551,Oregon,23594.68,Yes,Basic,Bachelor,31-01-11,Employed,Healthy,M,76358,Rural,Married,66,25,3,0,2,Personal Auto,Personal L1,Offer3,Agent,86.46,Four-Door Car,Midsize
FD11364,Oregon,6769,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,77001,Suburban,Single,85,4,58,0,3,Special Auto,Special L3,Offer2,Call Center,408,Four-Door Car,Midsize
SZ64974,Arizona,5104.35,No,Basic,Doctor,31-01-11,Employed,Healthy,M,77025,Suburban,Single,64,18,44,2,3,Personal Auto,Personal L1,Offer1,Agent,380.92,Two-Door Car,Midsize
UR36912,California,2796.8,No,Basic,Bachelor,31-01-11,Employed,Healthy,M,77362,Suburban,Married,70,14,25,0,1,Personal Auto,Personal L3,Offer2,Agent,386.6,Two-Door Car,Midsize
ME47990,California,3109.01,No,Extended,High School Or Below,31-01-11,Employed,Healthy,M,77485,Urban,Married,77,0,87,0,1,Corporate Auto,Corporate L2,Offer2,Branch,355.91,Four-Door Car,Midsize
GH48715,Arizona,5623.76,No,Basic,High School Or Below,31-01-11,Employed,Healthy,F,77912,Rural,Single,71,2,21,1,3,Corporate Auto,Corporate L3,Offer3,Branch,23.9,Four-Door Car,Midsize
TR39403,California,3681.98,No,Extended,Master,31-01-11,Employed,Healthy,F,77951,Rural,Married,93,28,46,3,1,Corporate Auto,Corporate L2,Offer4,Branch,19.67,Two-Door Car,Midsize
FK54851,California,6310.4,No,Extended,High School Or Below,31-01-11,Employed,Healthy,M,79880,Suburban,Married,79,22,68,1,7,Personal Auto,Personal L3,Offer2,Branch,568.8,Two-Door Car,Midsize
FH39423,Oregon,5539.35,No,Basic,Master,31-01-11,Employed,Healthy,F,80727,Rural,Married,68,15,43,0,4,Personal Auto,Personal L2,Offer2,Call Center,98.72,Four-Door Car,Midsize
VW11431,California,2971.92,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,83873,Urban,Single,76,5,36,1,1,Personal Auto,Personal L2,Offer3,Branch,218.37,Two-Door Car,Midsize
QD28391,Washington,7425.85,No,Basic,College,31-01-11,Employed,Healthy,M,84302,Rural,Married,62,19,63,0,2,Personal Auto,Personal L2,Offer2,Branch,76.61,Four-Door Car,Midsize
MS11057,Oregon,9587.59,No,Premium,Bachelor,31-01-11,Employed,Healthy,M,84539,Rural,Married,119,10,71,0,4,Personal Auto,Personal L3,Offer1,Call Center,65.43,Four-Door Car,Midsize
CE10235,California,3409.68,No,Extended,Bachelor,31-01-11,Employed,Healthy,F,85023,Suburban,Married,85,4,69,0,1,Personal Auto,Personal L1,Offer2,Agent,408,Four-Door Car,Midsize
JD10245,California,4358.76,No,Basic,High School Or Below,31-01-11,Employed,Healthy,M,86001,Suburban,Divorced,109,4,27,1,1,Personal Auto,Personal L3,Offer1,Agent,523.2,SUV,Midsize
NE70831,California,2732.65,No,Basic,High School Or Below,31-01-11,Employed,Healthy,F,86650,Urban,Single,69,7,64,2,1,Personal Auto,Personal L1,Offer1,Web,323.87,Two-Door Car,Midsize
JB29250,Oregon,7573.34,No,Extended,High School Or Below,31-01-11,Employed,Healthy,F,87615,Suburban,Married,94,35,63,0,3,Personal Auto,Personal L2,Offer3,Branch,451.2,Four-Door Car,Midsize
LX72964,Arizona,11260.9,No,Extended,High School Or Below,31-01-11,Employed,Healthy,F,88304,Urban,Single,95,2,17,0,2,Personal Auto,Personal L3,Offer2,Branch,276.47,Four-Door Car,Large
CM78608,California,5823.16,No,Basic,High School Or Below,31-01-11,Employed,Healthy,F,88359,Rural,Divorced,73,1,49,0,9,Personal Auto,Personal L3,Offer2,Call Center,35.92,Two-Door Car,Midsize
IS30186,California,6186.5,No,Extended,College,31-01-11,Employed,Healthy,F,88375,Rural,Divorced,77,23,11,0,3,Personal Auto,Personal L2,Offer2,Agent,0.42,Four-Door Car,Midsize
FX95323,Oregon,2639.64,No,Basic,College,31-01-11,Employed,Healthy,M,88731,Rural,Married,66,10,72,0,1,Personal Auto,Personal L3,Offer4,Agent,148.97,Four-Door Car,Midsize
EL93539,California,5757.44,Yes,Basic,Master,31-01-11,Employed,Healthy,M,88997,Rural,Divorced,72,9,71,0,3,Special Auto,Special L3,Offer2,Branch,174.04,Four-Door Car,Small
XG44587,Arizona,5757.44,Yes,Basic,Master,31-01-11,Employed,Healthy,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.04,Four-Door Car,Small
BU70181,Arizona,5757.44,Yes,Basic,Master,31-01-11,Employed,Healthy,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.04,Four-Door Car,Small
HN45134,Arizona,5757.44,Yes,Basic,Master,31-01-11,Employed,Healthy,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.04,Four-Door Car,Small
UQ34669,Arizona,5757.44,Yes,Basic,Master,31-01-11,Employed,Healthy,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.04,Four-Door Car,Small
WM36886,California,5757.44,Yes,Basic,Master,31-01-11,Employed,Healthy,M,88997,Rural,Divorced,72,9,71,0,3,Corporate Auto,Corporate L2,Offer2,Branch,174.04,Four-Door Car,Small
ZW71731,California,5170.36,No,Extended,Bachelor,31-01-11,Employed,Healthy,M,89284,Urban,Divorced,133,4,62,2,1,Corporate Auto,Corporate L3,Offer1,Web,402.07,SUV,Midsize
EU54076,Oregon,5228.92,No,Basic,Bachelor,31-01-11,Employed,Healthy,M,92472,Urban,Married,65,0,3,0,3,Corporate Auto,Corporate L3,Offer2,Agent,240.22,Four-Door Car,Midsize
EB12732,Oregon,2847.97,No,Basic,High School Or Below,31-01-11,Employed,Healthy,F,96357,Urban,Married,71,4,69,1,1,Personal Auto,Personal L3,Offer2,Branch,238.25,Four-Door Car,Midsize
BT78461,California,11288.17,No,Basic,College,31-01-11,Employed,Healthy,F,96399,Urban,Married,70,1,28,0,2,Personal Auto,Personal L1,Offer2,Agent,307.9,Four-Door Car,Midsize
SK46419,California,4072.85,No,Basic,High School Or Below,31-01-11,Employed,Healthy,M,96443,Suburban,Single,102,1,17,0,1,Personal Auto,Personal L3,Offer4,Branch,489.6,SUV,Midsize
ZU50513,California,8954.84,No,Basic,Bachelor,31-01-11,Employed,Healthy,F,97736,Rural,Married,74,19,22,0,2,Personal Auto,Personal L2,Offer4,Agent,60.09,Four-Door Car,Midsize
PU75847,Arizona,4964.67,No,Basic,College,31-01-11,Employed,Healthy,M,98451,Suburban,Married,62,19,57,0,3,Personal Auto,Personal L3,Offer4,Agent,316.55,Four-Door Car,Small
VP89545,Arizona,4522.88,No,Basic,College,01-02-11,Unemployed,Healthy,M,0,Suburban,Married,61,8,78,0,9,Personal Auto,Personal L3,Offer1,Web,292.8,Four-Door Car,Midsize
ED28429,Washington,4159.59,No,Basic,Bachelor,01-02-11,Unemployed,Healthy,M,0,Suburban,Single,62,1,64,0,3,Personal Auto,Personal L1,Offer1,Agent,446.4,Two-Door Car,Midsize
HE84643,California,2175.62,No,Basic,High School Or Below,01-02-11,Unemployed,Healthy,F,0,Suburban,Single,63,5,79,0,1,Personal Auto,Personal L3,Offer2,Branch,453.6,Four-Door Car,Midsize
XT36360,Arizona,6784.89,No,Basic,High School Or Below,01-02-11,Unemployed,Healthy,F,0,Suburban,Single,64,7,5,1,2,Personal Auto,Personal L2,Offer1,Call Center,460.8,Four-Door Car,Large
AX10148,California,2409.37,No,Basic,Bachelor,01-02-11,Unemployed,Healthy,F,0,Suburban,Married,66,3,97,0,1,Personal Auto,Personal L2,Offer4,Web,316.8,Four-Door Car,Midsize
TW42649,Washington,2467.98,No,Basic,College,01-02-11,Unemployed,Healthy,F,0,Urban,Married,67,0,14,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,222.9,Two-Door Car,Midsize
TI47802,California,2593.4,No,Basic,Master,01-02-11,Unemployed,Healthy,F,0,Suburban,Married,69,29,35,0,1,Personal Auto,Personal L3,Offer4,Branch,331.2,Two-Door Car,Midsize
TP41703,Washington,7250.03,No,Basic,Bachelor,01-02-11,Unemployed,Healthy,M,0,Suburban,Single,69,17,10,0,2,Personal Auto,Personal L3,Offer4,Call Center,496.8,Two-Door Car,Midsize
ZL53118,Arizona,2347.59,No,Basic,High School Or Below,01-02-11,Unemployed,Healthy,M,0,Suburban,Single,69,14,10,1,1,Personal Auto,Personal L3,Offer1,Branch,757.89,Four-Door Car,Midsize
AX99820,Arizona,2509.51,No,Basic,Bachelor,01-02-11,Unemployed,Healthy,F,0,Suburban,Single,71,20,48,0,1,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Small
RK45396,California,5380.32,No,Basic,Bachelor,01-02-11,Unemployed,Healthy,M,0,Suburban,Married,73,11,95,0,3,Corporate Auto,Corporate L2,Offer2,Web,350.4,Four-Door Car,Midsize
KJ86296,Oregon,4556.59,No,Basic,High School Or Below,01-02-11,Unemployed,Healthy,M,0,Suburban,Single,73,24,40,2,9,Personal Auto,Personal L2,Offer1,Agent,525.6,Four-Door Car,Midsize
XU63766,Oregon,8105.87,No,Basic,Bachelor,01-02-11,Unemployed,Healthy,F,0,Urban,Married,74,15,61,0,2,Personal Auto,Personal L3,Offer1,Branch,232.01,Four-Door Car,Midsize
HI16452,Oregon,3028.78,No,Extended,High School Or Below,01-02-11,Unemployed,Healthy,M,0,Suburban,Single,94,27,52,1,1,Special Auto,Special L3,Offer1,Branch,483.88,Four-Door Car,Midsize
LX30483,California,3371.53,No,Basic,College,01-02-11,Unemployed,Healthy,F,0,Suburban,Single,102,2,36,3,1,Personal Auto,Personal L2,Offer1,Agent,489.6,SUV,Midsize
ED91989,Arizona,7999.25,No,Basic,College,01-02-11,Unemployed,Healthy,M,0,Suburban,Married,107,13,17,0,5,Personal Auto,Personal L1,Offer1,Branch,513.6,SUV,Large
FQ83162,Washington,34708.87,No,Basic,College,01-02-11,Unemployed,Healthy,M,0,Suburban,Divorced,109,3,19,0,2,Personal Auto,Personal L2,Offer1,Agent,718.7,Sports Car,Midsize
XV21647,California,8036.45,No,Basic,High School Or Below,01-02-11,Unemployed,Healthy,F,0,Suburban,Single,112,7,42,0,9,Personal Auto,Personal L1,Offer1,Branch,806.4,Sports Car,Midsize
WV17090,California,25585.73,No,Basic,Bachelor,01-02-11,Unemployed,Healthy,M,0,Suburban,Married,116,0,45,0,2,Corporate Auto,Corporate L1,Offer2,Call Center,830.62,SUV,Midsize
SM54018,California,12689.43,No,Premium,College,01-02-11,Unemployed,Healthy,F,0,Suburban,Single,117,4,89,1,2,Personal Auto,Personal L3,Offer1,Web,1163.67,Two-Door Car,Midsize
FS31523,California,8532.72,No,Extended,High School Or Below,01-02-11,Unemployed,Healthy,F,0,Suburban,Married,122,32,6,2,7,Personal Auto,Personal L3,Offer2,Call Center,585.6,SUV,Small
ES21306,California,8558.93,No,Extended,Bachelor,01-02-11,Unemployed,Healthy,M,0,Suburban,Single,125,10,43,0,9,Personal Auto,Personal L3,Offer1,Branch,615.56,SUV,Small
GD84658,Nevada,35984.1,No,Extended,High School Or Below,01-02-11,Unemployed,Healthy,F,0,Suburban,Single,129,2,69,0,2,Corporate Auto,Corporate L2,Offer1,Agent,1267.55,Sports Car,Midsize
ME80331,California,9384.48,No,Extended,High School Or Below,01-02-11,Unemployed,Healthy,M,0,Suburban,Single,133,7,42,0,4,Personal Auto,Personal L3,Offer1,Call Center,957.6,SUV,Midsize
WH41496,Washington,4821.99,No,Extended,College,01-02-11,Unemployed,Healthy,M,0,Suburban,Married,136,28,87,0,1,Personal Auto,Personal L3,Offer2,Web,652.8,SUV,Large
HI14283,Oregon,5657.03,No,Premium,Bachelor,01-02-11,Unemployed,Healthy,F,0,Suburban,Married,152,12,89,0,1,Personal Auto,Personal L3,Offer1,Web,729.6,SUV,Small
ZZ97035,California,20714.94,No,Extended,College,01-02-11,Unemployed,Healthy,M,0,Suburban,Single,203,20,66,0,2,Corporate Auto,Corporate L1,Offer1,Branch,2027.72,Luxury Car,Small
ZI73222,California,15700.28,No,Extended,High School Or Below,01-02-11,Unemployed,Healthy,M,0,Suburban,Married,211,31,52,0,5,Personal Auto,Personal L3,Offer1,Web,1012.8,Luxury SUV,Midsize
DG68667,Arizona,8123.96,No,Basic,Doctor,01-02-11,Medical Leave,Unhealthy,M,12617,Suburban,Divorced,108,5,43,0,8,Personal Auto,Personal L3,Offer1,Branch,648.93,SUV,Midsize
YC80498,California,4770.55,Yes,Basic,College,01-02-11,Medical Leave,Unhealthy,F,12964,Suburban,Single,65,2,37,0,4,Personal Auto,Personal L1,Offer1,Web,362.77,Two-Door Car,Midsize
RH71877,Arizona,4770.55,Yes,Basic,College,01-02-11,Medical Leave,Unhealthy,F,12964,Suburban,Single,65,2,37,0,4,Personal Auto,Personal L3,Offer1,Web,362.77,Two-Door Car,Midsize
VP57785,Oregon,4770.55,Yes,Basic,College,01-02-11,Medical Leave,Unhealthy,F,12964,Suburban,Single,65,2,37,0,4,Personal Auto,Personal L1,Offer1,Web,362.77,Two-Door Car,Midsize
